INTITULE;ADR1;ADR2;CP;VILLE;TEL;FAX;PORTABLE;NOM_ASSIST;TARIF;TARIF2;TARIF3;TARIF4;OBS;CG;SECTION;RESPONSABLE;SECTEUR
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;122 bis, rue Andre Karman;x;93300;AUBERVILLIERS;01 48 39 53 00;x;x;MME TUTTLE;35;17,5;17,5;0;x;CG93;SDAF;x;SECTEUR 4
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;93400;SAINT OUEN;01 49 21 10 43;x;x;Mme MARGELY;35;17,5;17,5;0;x;CG93;SDAF;x;SECTEUR 1
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;93350;LE BOURGET;01 71 29 43 00;x;x;Mme COURTIN;35;17,5;17,5;0;x;CG93;SDAF;x;SECTEUR 1
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;93150;LE BLANC MESNIL;01 45 91 91 51;x;x;Mme SERNA;35;17,5;17,5;0;x;CG93;SDAF;x;SECTEUR 2
AIDE SOCIALE A L'ENFANCE;x;x;93800;EPINAY SUR SEINE;01 71 29 57 90;x;x;Mme GEMBLOUR;35;17,5;17,5;;CCAS: 01 49 71 99 10;CG93;ASE;x;x
AIDE SOCIALE A L'ENFANCE;x;x;93370;MONTFERMEIL;01 71 29 56 45;01 43 88 89 90;x;Mme ACHIN;35;17,5;17,5;;x;CG93;ASE;x;x
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;93230;ROMAINVILLE;01 71 29 57 80;x;x;MME GOLDENFAHN;35;17,5;17,5;17,5;x;CG93;SDAF;x;SECTEUR 3
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;93110;ROSNY SOUS BOIS;01 71 29 54 20;x;x;Mme POMMEREAU;35;17,5;17,5;17,5;x;CG93;SDAF;x;SECTEUR 3
AIDE SOCIALE A L'ENFANCE;x;x;93300;AUBERVILLIERS;01 71 29 58 70;x;06 03 43 30 63;Mme BELGHERRI;35;17,5;17,5;;DEMANDE FAITE PAR L'ASSOCIATION ALJM;CG93;ASE;x;x
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;93320;pavillons sous bois;01 49 15 41 56;x;x;Mme JOSSEAUME;35;17,5;17,5;0;x;CG93;SDAF;x;SECTEUR 5
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;93450;L'ILE SAINT DENIS;01 71 29 55 75;x;x;Mme OUIDDIR;35;17,5;17,5;;x;CG93;SDAF;x;SECTEUR 1
AIDE SOCIALE A L'ENFANCE;x;x;93110;ROSNY SOUS BOIS;01 71 29 54 45;01 49 35 09 13;x;MME ADJAOUD;35;17,5;17,5;0;x;CG93;ASE;x;x
AIDE SOCIALE A L'ENFANCE;x;x;93250;VILLEMOMBLE;01 49 35 25 25;x;x;Mme NINO;35;17,5;17,5;;x;CG93;ASE;x;x
DIRECTION DE LA PRÉVENTION ET DE L'ACTION SOCIALE;x;x;93380;PIERREFITTE SUR SEINE;01 48 26 54 08;01 48 26 09 45;x;Mme DIMPRE;36;18;0;0;x;CG93;DPAS;x;x
DIRECTION DE LA PRÉVENTION ET DE L'ACTION SOCIALE;76 RUE DE LA CONVENTION;2 étage;93120;LA COURNEUVE;01 43 11 30 60;01 49 34 03 60;x;Mme WILLARD;18,5;37;0;0;x;CG93;DPAS;x;x
DIRECTION DE LA PRÉVENTION ET DE L'ACTION SOCIALE;9 Esplanade de Rambouillet  Quartier des Fauvettes;x;93330;NEUILLY SUR MARNE;01 48 08 50 00;01 43 08 09 47;x;Mme AUBRIN;18;36;;;x;CG93;DPAS;x;x
DIRECTION DE LA PRÉVENTION ET DE L'ACTION SOCIALE;19,21 rue jacques duclos;x;93600;AULNAY SOUS BOIS;01 49 36 37 37;01 48 79 40 19;x;Mlle RUFFE;18;36;0;0;x;CG93;DPAS;x;x
DIRECTION DE LA PRÉVENTION ET DE L'ACTION SOCIALE;x;x;75010;PARIS;01 53 72 23 19;01 40 34 44 86;x;Mme MAYER;18;36;;;x;CG75;DPAS;x;x
DIRECTION DE LA PRÉVENTION ET DE L'ACTION SOCIALE;30 AVENUE DE LA REPUBLIQUE;x;93150;blanc mesnil;01 45 91 91 51;01 48 67 62 73;x;Mme DEL POZO;36;18;0;0;x;CG93;DPAS;x;x
DIRECTION DE LA PRÉVENTION ET DE L'ACTION SOCIALE;4 place du Casquet;x;93200;SAINT DENIS;01 49 33 63 89;01 49 33 71 95;x;Mme CLEMENT;0;0;0;0;x;CG93;DPAS;x;x
Publics En Errance de Bobigny;x;x;93000;BOBIGNY;01 71 29 54 00;01 48 45 62 99;x;Mme GOTTE;18;36;;;x;CG93;AUTRE;x;x
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;93120;LA COURNEUVE;01 71 29 54 65;x;x;Mme MOHAND;35;17,5;17,5;0;x;CG93;SDAF;x;SECTEUR 4
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;93170;BAGNOLET;01 49 93 61 68;x;x;Mme MADELINE;35;17,5;17,5;0;x;CG93;SDAF;x;SECTEUR 3
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;93200;SAINT DENIS;01 49 33 66 59;x;x;Mme DA VEIGA;35;17,5;17,5;0;x;CG93;SDAF;x;SECTEUR 1
ESPACE DEPARTEMENTAL DES SOLIDARITES;46 avenue du Général de Gaulle;x;94420;LE PLESSIS TRÉVISE;01 45 94 74 40;01 45 94 24 26;01 45 94 67 40;MME TRARIEUX;34;17;17;17;x;CG94;EDS;x;x
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;75010;PARIS;01 53 72 23 19;01 40 34 44 86;x;Mme MAYER;18;36;;;x;CG75;SDAF;x;x
AIDE SOCIALE A L'ENFANCE;x;x;93240;STAINS;01 71 29 43 60;01 48 22 93 07;x;Mme BLALL;35;17,5;17,5;0;x;CG93;ASE;x;x
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;19 RUE DE PARIS;x;93380;PIERREFITTE SUR SEINE;01 71 29 57 60;x;x;MME YAHIAOUI;35;17,5;17,5;0;x;CG93;SDAF;x;SECTEUR 1
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;75015;PARIS;01 56 54 44 56;01 56 54 44 48;x;MME TOBENEM;18;36;0;0;x;CG75;SDAF;x;x
AIDE SOCIALE A L'ENFANCE;1 RUE MANET;x;93150;LE BLANC MESNIL;01 71 29 20 90;x;x;Mme MARCHESIN;35;17,5;17,5;0;x;CG93;ASE;x;x
ESPACE DEPARTEMENTAL DES SOLIDARITES;x;x;94140;ALFORTVILLE;01 43 53 63 40;01 43 53 63 41;01 43 53 66 94;MME WISTAN;34;17;17;17;x;CG94;EDS;x;x
ESPACE DEPARTEMENTAL DES SOLIDARITES;4 boulevard de la Gare;x;94470;BOISSY SAINT LEGER;01 45 10 75 00;01 45 10 75 01;01 45 10 75 47;MME GANE;34;17;17;17;x;CG94;EDS;x;x
Centre Communal D'Action Sociale;x;x;75015;PARIS;01 56 54 44 56;01 56 54 44 58;x;Mme MESBAH;18;36;;;x;CG75;CCAS;x;x
AIDE SOCIALE A L'ENFANCE;x;x;93350;LE BOURGET;01 71 29 20 90;x;x;Mme TREPONT;35;17,5;17,5;0;x;CG93;ASE;x;x
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;93240;STAINS;01 71 29 25 26;x;x;Mme COURTOT;35;17,5;17,5;;x;CG93;SDAF;x;SECTEUR 1
ESPACE DEPARTEMENTAL DES SOLIDARITES;4 place Lénine;x;94500;CHAMPIGNY SUR MARNE;01 48 81 75 45;01 49 83 93 84;01 45 16 82 00;MME NOGUES;34;17;17;17;x;CG94;EDS;x;x
ESPACE DEPARTEMENTAL DES SOLIDARITES;38-42 rue Raispail;x;94200;IVRY SUR SEINE;01 49 87 12 50;01 49 87 12 60;01 48 53 71 84;MME MORDELET/MME REGGANE;34;17;17;0;x;CG94;EDS;x;x
ESPACE DEPARTEMENTAL DES SOLIDARITES;4 rue Dispan;x;94240;L'HAY LES ROSES;01 46 15 04 70;01 49 69 08 04;01 46 15 04 85;Mme Madelenat;34;17;17;17;x;CG94;EDS;x;x
Centre D'Action Sanitaire et Sociale;x;x;93250;VILLEMOMBLE;01 45 94 74 40;01 45 94 24 26;x;Mme GRESSOT;19;35;;;x;CG93;AUTRE;x;x
DIRECTION DE LA PRÉVENTION ET DE L'ACTION SOCIALE;x;x;93210;SAINT DENIS;01 55 93 63 57;01 55 93 57 90;x;Mme CORDEIRO;18,5;36;0;0;x;CG93;DPAS;x;x
DIRECTION DE LA PRÉVENTION ET DE L'ACTION SOCIALE;x;x;93400;SAINT OUEN;01 49 21 10 45;01 49 21 10 79;x;Mme BISCARRAT;18,5;37;0;0;x;CG93;DPAS;x;x
AIDE SOCIALE A L'ENFANCE;x;x;93390;CLICHY SOUS BOIS;01 71 29 21 35;x;x;Mme PASTOUREL;35;17,5;17,5;0;x;CG93;ASE;x;x
DIRECTION DE LA PRÉVENTION ET DE L'ACTION SOCIALE;x;x;93000;BOBIGNY;01 43 93 93 93;01 43 93 40 62;x;Mr VERNA;35;0;0;0;x;CG93;DPAS;x;x
DIRECTION DE LA PRÉVENTION ET DE L'ACTION SOCIALE;x;x;93170;BAGNOLET;01 49 93 61 68;01 49 93 60 24;x;Mme WILLARD;18;36;0;0;x;CG93;DPAS;x;x
DIRECTION DE LA PRÉVENTION ET DE L'ACTION SOCIALE;x;x;93800;EPINAY SUR SEINE;01 48 22 29 94;01 42 35 40 54;x;Mme DUPREY;18;0;0;0;x;CG93;DPAS;x;x
DIRECTION DE LA PRÉVENTION ET DE L'ACTION SOCIALE;x;x;93700;DRANCY;01 41 64 01 00;01 41 64 01 28;x;Mme VARNIER;18;36;0;0;x;CG93;DPAS;x;x
AIDE SOCIALE A L'ENFANCE;x;x;93500;PANTIN;01 49 15 40 00;x;x;/ EDUCATEUR Mr OUAZ;35;17,5;17,5;0;x;CG93;ASE;x;x
DIRECTION DE LA PRÉVENTION ET DE L'ACTION SOCIALE;x;x;93100;MONTREUIL;01 55 86 10 56;01 48 97 90 44;x;COURRIC;18,5;37;;;x;CG93;AUTRE;x;x
DIRECTION DE LA PRÉVENTION ET DE L'ACTION SOCIALE;x;x;93300;PIERREFITTE;01 43 93 93 93;01 43 93 40 62;x;Mme PETIT;18;36;0;0;CAF AUBERVIILIERS;CG93;DPAS;x;x
DIRECTION DE LA PRÉVENTION ET DE L'ACTION SOCIALE;x;x;93500;PANTIN;01 49 15 41 53;01 49 15 39 09;01 43 93 75 51;Mme ZINN;36;18;0;0;x;CG93;DPAS;x;x
DIRECTION DE LA PRÉVENTION ET DE L'ACTION SOCIALE;x;x;93100;MONTREUIL;01 55 86 10 56;01 48 97 90 44;x;Mme SALOMON;18;0;0;0;x;CG93;DPAS;x;x
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;93430;VILLETANEUSE;01 49 40 76 02;x;x;Mme ANNIC;35;17,5;17,5;0;x;CG93;SDAF;x;SECTEUR 1
ESPACE DEPARTEMENTAL DES SOLIDARITES;8 RUE DU GENERAL LACHARRIERE;x;94000;CRETEIL;01 45 13 81 60;01 45 13 81 61;01 45 13 81 86;MME DA FONSECA;34;17;17;17;ENFANT DE 2 ANS ET DEMI 3 ENFANTS - 1 né en 2005 et 2 nés en 2008;CG94;EDS;x;x
DIRECTION DE LA PRÉVENTION ET DE L'ACTION SOCIALE;x;x;93160;NOISY LE GRAND;01 43 05 06 11;01 43 04 98 74;x;Mr GUIOMAR;18;36;0;0;x;CG93;DPAS;x;x
DIRECTION DE LA PRÉVENTION ET DE L'ACTION SOCIALE;x;x;93390;CLICHY SOUS BOIS;01 43 88 11 50;01 43 88 63 10;x;Mme DOUAIRE;18;0;0;0;x;CG93;DPAS;x;x
DIRECTION DE LA PRÉVENTION ET DE L'ACTION SOCIALE;x;x;93230;ROMAINVILLE;01 48 45 81 88;01 48 45 22 94;x;Mr PLASSARD;20;18;;;x;CG93;DPAS;x;x
ESPACE DEPARTEMENTAL DES SOLIDARITES;x;x;93290;tremblay en France;01 48 60 75 29;01 48 60 71 91;x;Mme REZZOUS;36;18;;;x;CG93;EDS;x;x
ESPACE DEPARTEMENTAL DES SOLIDARITES;5 rue Jean Douat;x;94120;FONTENAY SOUS BOIS;01 45 53 60 00;01 43 94 97 76;01 45 14 46 00;MME ANDAHUR;34;17;17;17;x;CG94;EDS;x;x
ESPACE DEPARTEMENTAL DES SOLIDARITES;1, allée Victor Basch;x;94170;LE PERREUX SUR MARNE;01 48 71 58 60;01 48 72 75 34;01 48 71 58 79;Mme AUFFRET;34;17;17;17;x;CG94;EDS;x;x
Centre d'Action Sanitaire et sociale;x;x;94500;CHAMPIGNY SUR MARNE;01 45 16 82 00;01 48 80 76 58;x;Mme JOYEUX;19;35;;;x;CG94;AUTRE;x;x
Centre D'Action Sanitaire et Sociale;x;x;94170;LE PERREUX SUR MARNE;01 48 72 75 34;01 48 71 58 70;x;Mme PERREAU;19;35;;;x;CG94;AUTRE;x;x
AIDE SOCIALE A L'ENFANCE;x;x;75012;PARIS;01 53 46 85 24;01 53 46 86 40;x;MME MUGUET;18,5;37;0;0;x;CG75;ASE;x;x
ESPACE DEPARTEMENTAL DES SOLIDARITES;Immeuble Orix - 1 place des Alliés;x;94600;CHOISY LE ROI;01 48 53 60 70;01 48 53 60 80;x;Mme REMIA;34;17;17;17;x;CG94;EDS;x;x
ESPACE DEPARTEMENTAL DES SOLIDARITES;x;x;94190;VILLENEUVE SAINT GEORGES;01 58 08 95 00;01 43 82 00 72;01 43 89 62 32;Mr WENIG;34;17;17;17;x;CG94;EDS;x;x
ESPACE DEPARTEMENTAL DES SOLIDARITES;Accueil Sud;27 avenue Maximilien Robespierre;94400;VITRY SUR SEINE;01 46 82 16 17;01 46 81 99 03;01 46 82 17 64;MME MACHADO Célina;34;17;17;17;x;CG94;EDS;x;x
DIRECTION DE LA PRÉVENTION ET DE L'ACTION SOCIALE;x;x;93220;GAGNY;01 43 81 34 70;01 43 02 09 71;x;Mme SIDIBE;18,5;37;0;0;x;CG93;DPAS;x;x
DIRECTION DE LA PRÉVENTION ET DE L'ACTION SOCIALE;x;x;93140;BONDY;01 48 48 46 32;01 48 49 60 83;x;MME POULET;18,5;37;0;0;x;CG93;DPAS;x;x
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;93130;NOISY LE SEC;01 41 83 81 10;x;x;MME DALLE/MME SOUZA;35;17,5;17,5;;x;CG93;SDAF;x;SECTEUR 5
DIRECTION DE LA PRÉVENTION ET DE L'ACTION SOCIALE;x;x;93250;VILLEMOMBLE;01 48 55 02 39;01 49 35 18 40;x;Mme MALLASSENET;36;18;;;x;CG93;DPAS;x;x
115 SAMU SOCIAL DU VAL DE MARNE;46, rue Eugène Dupuis;x;94000;CRETEIL;01 45 11 69 30;01 49 76 97 33;06 08 07 82 80;Mr DESCOUBES;19;22,5;18;19;x;CG94;SAMU;x;x
AIDE SOCIALE A L'ENFANCE;x;x;93330;NEUILLY SUR MARNE;01 71 29 57 15;x;x;MR PUCHEU;35;17,5;17,5;0;DPAS: 01 71 29 52 75;CG93;ASE;x;x
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;93420;VILLEPINTE;01 71 29 53 20;x;x;MME THIBAUT;35;17,5;17,5;0;x;CG93;SDAF;x;SECTEUR 2
ESPACE DEPARTEMENTAL DES SOLIDARITES;1, place Le Corbusier;x;94310;ORLY;01 48 84 28 19;01 48 52 77 56;01 48 84 35 99;MME PAGOT/MME SERVANT;34;17;17;17;x;CG94;EDS;x;x
CENTRE COMMUNAL D'ACTION SOCIALE;27 avenue Maximilien Robespierre;x;94400;VITRY SUR SEINE;01 46 82 16 17;01 46 81 99 03;01 46 82 84 25;MELLE DAVID;34;17;17;17;x;CG94;CCAS;x;x
CENTRE COMMUNAL D'ACTION SOCIALE;x;x;93600;AULNAY SOUS BOIS;01 48 79 63 63;01 48 79 40 19;x;MME KOCHBATI;0;0;0;0;x;CG93;CCAS;x;x
AIDE SOCIALE A L'ENFANCE;x;x;93130;NOISY LE SEC;01 71 29 20 20;01 48 91 67 85;x;MR GLAUNEC;35;17,5;17,5;;x;CG93;ASE;x;x
ESPACE DEPARTEMENTAL DES SOLIDARITES;31 rue de la Division Leclerc;x;94250;GENTILLY;01 40 24 13 50;01 41 24 13 79;01 41 24 13 50;MME OWASSA/MME GOMIZ;34;17;17;17;x;CG94;EDS;x;x
L 'AIDE SOCIALE A L'ENFANCE;x;x;93600;AULNAY SOUS BOIS;01 71 29 22 80;01 48 68 84 29;x;Mme ROUSSEAU;35;17,5;17,5;0;CCAS: 01 48 79 40 18;CG93;ASE;x;x
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;93370;MONTFERMEIL;01 49 33 66 59;x;x;Mme NELTA;35;17,5;17,5;;x;CG93;SDAF;x;SECTEUR 2
ESPACE DEPARTEMENTAL DES SOLIDARITES;2 rue Louis Pergaud - 4ème étage porte gauche;x;94700;MAISONS ALFORT;01 41 79 58 90;01 49 77 76 32;x;MME BEDEL;34;17;17;17;x;CG94;EDS;x;x
SAMU SOCIAL;14 RUE DE L'EGLISE;x;94340;JOINVILLE LE PONT;01 45 11 69 30;01 49 76 97 33;x;MME MILLOT;19;0;0;0;x;CG94;SAMU;x;x
ESPACE DEPARTEMENTAL DES SOLIDARITES;9 place du 19 mars 1962;x;94260;FRESNES;01 49 84 09 05;01 49 84 66 58;01 49 84 18 41;MME SAMATHI;34;17;17;17;x;CG94;EDS;x;x
DIRECTION DE LA PRÉVENTION ET DE L'ACTION SOCIALE;x;x;93370;MONTFERMEIL;01 43 30 61 85;01 43 88 89 90;x;mme ACHIN;18,5;37;0;0;x;CG93;DPAS;x;x
DIRECTION DE LA PRÉVENTION ET DE L'ACTION SOCIALE;x;x;62170;MONTREUIL;01 55 86 10 56;01 48 97 90 44;x;Mme COURRIC;18;36;;;x;CG62;DPAS;x;x
L 'AIDE SOCIALE A L'ENFANCE;x;x;93170;BAGNOLET;01 71 29 56 15;x;x;MME BARGANS;35;17,5;17,5;0;x;CG93;ASE;x;x
ABEJ-DIACONIE;x;x;94400;VITRY SUR SEINE;01 46 80 75 44;01 46 80 91 24;x;MME CHARIF;17,5;35;;;x;CG94;AUTRE;x;x
ESPACE DEPARTEMENTAL DES SOLIDARITES;155 rue Jean Jaurès;x;94800;VILLEJUIF;01 46 77 42 50;01 46 77 42 51;01 46 77 47 05;MME LUONG;34;17;17;17;x;CG94;EDS;x;x
DIRECTION DE LA PRÉVENTION ET DE L'ACTION SOCIALE;x;x;93290;TREMBLAY EN FRANCE;01 48 60 75 29;01 48 60 71 91;x;Mme MARCEL;18,5;37;;;x;CG93;DPAS;x;x
AIDE SOCIALE A L'ENFANCE;x;x;75015;PARIS;01 56 54 44 53;01 56 54 44 48;x;MME TOBELEM;18,5;37;;;x;CG75;ASE;x;x
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;93150;LE BLANC MESNIL;01 48 14 28 50;x;x;MME BARRE;35;17,5;17,5;;x;CG93;SDAF;x;SECTEUR 2
